Year,NPL, GDP,Exchange_Rate ,Interest_Rate
2006,19.35,25825524821,72.1,13.64
2007,10.23,31958195182,67.32,13.33
2008,9.01,35895153328,69.19,14.02
2009,8,42347217913,77.35,14.8
2010,6.29,45405587557,79.23,14.36
2011,4.43,46869457318,88.81,15.05
2012,4.59,56396706006,84.53,19.65
2013,5.05,61671425370,86.12,17.31
2014,5.46,68285768554,87.92,16.51
2015,5.99,70120413329,98.18,16.16
2016,11.66,74815121315,101.5,16.58
2017,9.95,82035800868,103.41,13.67
2018,11.69,92202956321,101.3,13.06
2019,12.01,1.00555E+11,101.99,12.44
2020,14.14,1.01014E+11,106.45,12
